example_id                                    | status | run_time        |
--------------------------------------------- | ------ | --------------- |
./spec/features/catagories_index_spec.rb[1:1] | passed | 0.016 seconds   |
./spec/features/catagories_index_spec.rb[1:2] | passed | 0.02198 seconds |
./spec/features/catagories_index_spec.rb[1:3] | passed | 0.02879 seconds |
./spec/features/catagories_index_spec.rb[1:4] | passed | 0.04726 seconds |
./spec/features/catagories_index_spec.rb[1:5] | passed | 0.03484 seconds |
./spec/features/catagories_new_spec.rb[1:1]   | passed | 0.01664 seconds |
./spec/features/catagories_new_spec.rb[1:2]   | passed | 0.35537 seconds |
./spec/features/catagories_new_spec.rb[1:3]   | passed | 0.10532 seconds |
./spec/features/catagories_show_spec.rb[1:1]  | passed | 0.03183 seconds |
./spec/features/catagories_show_spec.rb[1:2]  | passed | 0.06435 seconds |
./spec/features/catagories_show_spec.rb[1:3]  | passed | 0.06297 seconds |
./spec/features/payments_new_spec.rb[1:1]     | passed | 0.0259 seconds  |
./spec/features/payments_new_spec.rb[1:2]     | passed | 0.06419 seconds |
./spec/features/payments_new_spec.rb[1:3]     | passed | 0.06229 seconds |
./spec/features/payments_new_spec.rb[1:4]     | passed | 0.07796 seconds |
./spec/models/catagory_spec.rb[1:1]           | passed | 0.00127 seconds |
./spec/models/catagory_spec.rb[1:2]           | passed | 0.00147 seconds |
./spec/models/paynent_spec.rb[1:1]            | passed | 0.0021 seconds  |
./spec/models/paynent_spec.rb[1:2]            | passed | 0.00195 seconds |
./spec/models/paynent_spec.rb[1:3]            | passed | 0.00146 seconds |
./spec/models/user_spec.rb[1:1]               | passed | 0.00855 seconds |
